Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2022,Alabama,Autauga,01,000,79216.61,0.98136,30.67,8647.25,0.89556,430,15333.51,0.96431,93.42,10443.03,1.03195,2838.33
2022,Alabama,Baldwin,01,010,80017.74,0.92668,105.42,10027.96,0.90901,1479.5,20625.31,1.01834,434.67,11100.48,0.99248,18105.83
2022,Alabama,Barbour,01,020,76970.88,0.89154,30.17,10906.67,0.97952,267.33,19628.32,0.84603,163.33,10356.89,0.98096,1359.08
2022,Alabama,Bibb,01,030,79077.19,0.97499,17.83,9299.47,0.89183,250,14023.15,0.99493,133.25,10087.69,1.07534,875.5
2022,Alabama,Blount,01,040,67133.38,0.95756,17.83,10322.73,0.9202,440.33,19567.51,0.99556,168.92,11298.17,1.06418,2707.83
2022,Alabama,Bullock,01,050,93880.76,1.13872,12.42,7055.83,0.74429,71.67,21450.63,0.91781,83.67,10465.4,0.986,254.25
2022,Alabama,Butler,01,060,75160.43,0.86959,26.17,9056.23,0.86978,222.25,15744.87,0.87191,151.08,11224.49,1.11693,1061.75
2022,Alabama,Calhoun,01,070,81941.48,0.9834,89,9533.83,0.8795,1604.17,16202.96,1.01243,528.75,11258.97,1.11405,8262.33
2022,Alabama,Chambers,01,080,68672.24,0.93658,44.75,8058.78,0.92467,539.5,14005.81,0.92231,288.33,10289.41,1.08893,1873.83
2022,Alabama,Cherokee,01,090,73256.44,1.06779,25.25,10745.53,0.9133,460.42,15264.04,0.91544,246.92,10645.85,1.06841,2103.25
2022,Alabama,Chilton,01,100,71523.52,0.97104,18.58,11886.63,0.92538,318,17640.67,0.92019,118.5,11549.91,1.03751,1720.92
2022,Alabama,Choctaw,01,110,94118.91,0.91362,19.92,9672.96,0.79412,303.92,16853.58,0.93637,179.33,11975.68,1.00673,1080.92
2022,Alabama,Clarke,01,120,81799.33,0.92203,14.5,7877.56,0.88084,315.08,14306.75,0.80236,128.75,10364.25,1.03632,1284.92
2022,Alabama,Clay,01,130,*,*,*,8383.07,0.7905,182.83,14454.27,0.90988,123.25,9043.79,0.97384,915.42
2022,Alabama,Cleburne,01,140,*,*,*,12780.9,0.87784,228,16145.03,0.97894,132.67,11183.8,1.03318,1137.83
2022,Alabama,Coffee,01,150,80582.52,0.98077,31.58,10171.74,0.93753,569.58,15169.11,0.97665,264.33,9834.97,1.05985,3832.67
2022,Alabama,Colbert,01,160,68048.69,0.87875,35,11150.93,0.95317,687.5,19277.8,0.95438,337.92,10383.71,1.00953,4262.58
2022,Alabama,Conecuh,01,170,*,*,*,9047.52,0.72713,273.33,20590.87,0.80932,159.5,11849.42,0.98378,839.75
2022,Alabama,Coosa,01,180,*,*,*,7769.11,0.68815,125.33,12756.57,0.91915,42.25,11774.68,1.08635,632.67
2022,Alabama,Covington,01,190,75624.98,1.09238,30.08,11629.34,0.99327,556.67,17935.03,0.92077,417.83,11088.84,1.07527,3030
2022,Alabama,Crenshaw,01,200,54064.16,0.8313,10.58,12164.61,0.79057,133.17,13662.95,0.99145,109.33,9591.75,1.03565,675.83
2022,Alabama,Cullman,01,210,79275.32,0.96963,47,12068.4,1.00068,821.75,19045.62,0.94931,515.75,10890.2,1.10688,5952.5
2022,Alabama,Dale,01,220,72220.64,0.98942,25.17,9906.42,0.9262,570.92,18888.23,0.9384,227,11824.88,1.09382,3125
2022,Alabama,Dallas,01,230,73734.4,0.93915,51.17,9470.4,0.85069,479.08,18896.64,1.02139,397,8918.04,0.98946,1410.42
2022,Alabama,DeKalb,01,240,66536.43,0.86874,39.08,8751.05,0.88144,999.33,13077.33,0.88043,552.83,10206.56,0.99089,4577.5
2022,Alabama,Elmore,01,250,66847.73,1.00413,48.92,9307.79,0.87593,672.5,19319.36,0.96317,171.58,10175.49,0.98979,4780.33
2022,Alabama,Escambia,01,260,74102.82,0.97492,31.08,9421.81,0.84594,446.08,20204.03,0.9144,238.75,11178.26,1.04018,2213.92
2022,Alabama,Etowah,01,270,80869.78,0.99017,74.33,10273.49,0.92953,1488.33,17170.58,0.95663,624.92,11872.1,1.08276,5492.75
2022,Alabama,Fayette,01,280,84221.92,1.05259,12.83,9845.6,0.871,400.92,17638.76,0.98609,266.75,10589.54,1.07217,1464.33
2022,Alabama,Franklin,01,290,66120.02,0.98227,17.58,12102.11,0.9527,424.83,17176.6,0.86954,292.08,11545.22,1.03063,2002.83
2022,Alabama,Geneva,01,300,77811.16,0.85108,12.83,9669.51,0.82592,369.67,18777.69,0.9344,230.67,11104.08,1.02855,1850.83
2022,Alabama,Greene,01,310,77425,0.86515,17.17,9186.72,0.77628,158.92,11048.26,0.86381,124.67,8254.04,0.95846,319.25
2022,Alabama,Hale,01,320,61380.21,1.06909,20.83,9598.27,0.8646,364.67,17628.76,0.95439,224,9709.66,1.0004,757.5
2022,Alabama,Henry,01,330,101396.81,0.98126,12.33,11933.06,0.79718,178.67,14494.43,0.94996,123.42,11129.68,1.01577,1156.33
2022,Alabama,Houston,01,340,67835.83,0.97867,64.25,11144.32,0.9159,1031.58,19563.58,1.01189,507.08,11322.27,1.0236,6447.42
2022,Alabama,Jackson,01,350,67953.12,0.93669,24.67,10833.58,0.9886,728.42,16056.82,0.88295,385.67,9857.92,1.0125,4419.92
2022,Alabama,Jefferson,01,360,76408.05,0.96659,404.58,11258.98,0.99211,3948.92,19914.98,1.00691,1394.83,11204.93,1.06395,25329.42
2022,Alabama,Lamar,01,370,72567.2,0.96313,11.33,8724.15,0.84628,319.58,14792.2,0.92978,169.67,10512.29,1.04645,1373
2022,Alabama,Lauderdale,01,380,63172.46,0.99747,54.83,10369.3,0.92084,956.17,15131.64,0.91803,517.58,9507.15,0.98872,7536.92
2022,Alabama,Lawrence,01,390,64216.73,1.01728,18.5,10024.37,0.95888,447,15144.43,0.9348,224.33,10341.49,1.06974,2274.58
2022,Alabama,Lee,01,400,67191.29,0.99001,80.83,9111.23,0.9226,1382.17,16800.26,0.92496,447.92,9882.88,1.01185,7286.92
2022,Alabama,Limestone,01,410,78420.98,0.91214,51.33,9960.23,0.94439,838.42,16048.69,0.89453,326.08,11009.33,1.00259,6711.33
2022,Alabama,Lowndes,01,420,62369.85,0.85495,13,9966.28,0.7727,79.83,12235.41,0.86768,55.92,10893.19,0.95976,361.08
2022,Alabama,Macon,01,430,77394.07,1.00244,24.83,11259.59,0.88754,169.5,14072.65,0.88501,87.42,8572.29,1.02187,785.75
2022,Alabama,Madison,01,440,80839.53,0.97573,230,10994.48,0.9315,2460.92,19155.66,0.90951,930.75,10620.01,0.99465,26935.67
2022,Alabama,Marengo,01,450,58454.98,0.94787,26.58,7776.21,0.82034,399.58,14859.89,1.00155,215.17,10094.38,1.03148,1232.42
2022,Alabama,Marion,01,460,72105.46,0.89705,15.25,10097.32,0.91303,563.75,15519.29,0.88566,385,9866.54,1.04033,2424.42
2022,Alabama,Marshall,01,470,75814.49,0.93104,60.08,10151.13,0.91378,1070.33,16791.19,0.86749,635.42,10611.56,1.02387,6442.33
2022,Alabama,Mobile,01,480,77452.12,0.94603,260.83,10435.66,0.94256,2915.92,19069.52,0.97626,1039.83,11254.9,1.085,15072.92
2022,Alabama,Monroe,01,490,54341.62,0.8007,20,9895.4,0.78644,256.08,17234.05,0.92952,163.75,9617.36,0.93679,1074.67
2022,Alabama,Montgomery,01,500,69781.32,0.93417,165.67,9304.36,0.90409,1541.08,16707.27,0.97692,536.33,9522.25,0.99217,9506.83
2022,Alabama,Morgan,01,510,61892.67,0.92306,70.42,10169.19,0.94412,1221.92,18370.97,0.94252,626.83,10705.21,1.0393,8715.33
2022,Alabama,Perry,01,520,75621.92,0.98357,15.33,7865.04,0.80731,160.33,15339.87,0.88595,147.5,9258.18,1.08549,342.67
2022,Alabama,Pickens,01,530,70045.78,0.94059,17.67,8055.72,0.91884,421.33,16046.67,0.97756,219.67,10912.5,1.09662,1289.92
2022,Alabama,Pike,01,540,58697.82,0.85207,24.83,7079.69,0.72654,264.58,15999.51,0.99872,161.17,10790.12,1.03857,1245.08
2022,Alabama,Randolph,01,550,97196.51,1.01071,16.33,10591.57,0.89068,368.25,16809.63,0.86772,198.33,9436.85,0.95542,1736.58
2022,Alabama,Russell,01,560,68382.69,0.92423,61.75,7843.53,0.82904,656.5,14517.11,0.95516,262.75,9299.33,1.09288,2996.08
2022,Alabama,"St. Clair",01,570,67606.89,0.95067,44.08,12762.02,1.08292,606.58,21716.75,1.12641,151.25,11099.63,1.24404,4062.33
2022,Alabama,Shelby,01,580,76038.37,0.95312,62.67,11172.45,0.98691,926.83,20384.3,0.99367,250.42,11792.36,1.04995,11043.92
2022,Alabama,Sumter,01,590,77082.58,1.00029,16.17,12843.15,0.87276,234.67,14174.38,0.83256,178.5,8790.56,0.95745,562.92
2022,Alabama,Talladega,01,600,73291.58,1.00065,57.25,10000.31,0.97849,912.08,21625.94,1.01766,321.92,11148.4,1.11596,4176.08
2022,Alabama,Tallapoosa,01,610,71225.56,0.93601,32.25,9734.27,0.85798,499.33,16446.49,0.97271,210.33,11168.91,1.06909,2938.33
2022,Alabama,Tuscaloosa,01,620,84972.58,0.96144,131.58,9290.5,0.8767,2173.42,16859.95,0.9742,857.08,10427.14,1.04867,8914.25
2022,Alabama,Walker,01,630,59515.61,0.96874,26.67,9046.05,0.85673,831.25,18692.72,1.01493,306.33,11136.57,1.11493,3643.33
2022,Alabama,Washington,01,640,117760.3,1.0357,18,10663.75,0.89011,285.5,13680.13,0.80938,155,10987.04,1.03661,1113.83
